year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Height_1,Weight_1,Sponsor_1,Followers_1,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2022,Ichitaka YAMASHITA,M,27,02:07:42,7662,7690,0.0,19.733750978856694,27/02/2022,JPN,2,Osaka,85,1246,0,21,02:05:51,7551,20.0238379022646,05/03/2023,172,55,,1700,172,55,,1700,2024,330000,436,438,Aout,88,Summer
2023,Ichitaka YAMASHITA,M,27,02:05:51,7551,7662,-0.01,20.0238379022646,05/03/2023,JPN,7,Tokyo,85,1246,0,21,02:05:51,7551,20.0238379022646,05/03/2023,172,55,,1700,172,55,,1700,2024,330000,436,438,Aout,88,Summer
2023,Ichitaka YAMASHITA,M,27,02:14:11,8051,7879,0.02,18.780275742143832,15/10/2023,JPN,32,Tokyo,85,1246,0,21,02:05:51,7551,20.0238379022646,05/03/2023,172,55,,1700,172,55,,1700,2024,330000,436,438,Aout,88,Summer
2019,Suguru OSAKO,M,33,02:11:41,7901,7550,0.05,19.136818124288066,15/09/2019,JPN,3,Tokyo,90,1244,0,30,02:06:13,7573,19.96566750297108,05/03/2023,170,52,,289000,170,52,,289000,2024,330000,436,438,Aout,88,Summer
2020,Suguru OSAKO,M,33,02:05:29,7529,8250,-0.09,20.082348253420108,01/03/2020,JPN,4,Tokyo,90,1244,0,30,02:06:13,7573,19.96566750297108,05/03/2023,170,52,,289000,170,52,,289000,2024,330000,436,438,Aout,88,Summer
2023,Suguru OSAKO,M,33,02:06:13,7573,7891,-0.04,19.96566750297108,05/03/2023,JPN,9,Tokyo,90,1244,0,30,02:06:13,7573,19.96566750297108,05/03/2023,170,52,,289000,170,52,,289000,2024,330000,436,438,Aout,88,Summer
2023,Suguru OSAKO,M,33,02:09:11,7751,7573,0.02,19.507160366404335,15/10/2023,JPN,3,Tokyo,90,1244,0,30,02:06:13,7573,19.96566750297108,05/03/2023,170,52,,289000,170,52,,289000,2024,330000,436,438,Aout,88,Summer
2017,Stephen MOKOKA,M,39,02:16:53,8213,7818,0.05,18.409838061609644,26/02/2017,RSA,36,Tokyo,100,1238,0,34,02:06:42,7602,19.889502762430936,26/02/2023,156,50,,,156,50,,,2024,330000,436,438,Aout,88,Summer
2023,Stephen MOKOKA,M,39,02:06:42,7602,7798,-0.03,19.889502762430936,26/02/2023,RSA,5,Osaka,100,1238,0,34,02:06:42,7602,19.889502762430936,26/02/2023,156,50,,,156,50,,,2024,330000,436,438,Aout,88,Summer
2021,Goitom KIFLE,M,31,02:05:28,7528,8002,-0.06,20.085015940488841,05/12/2021,ERI,6,Valencia,102,1237,0,29,02:06:09,7569,19.976218787158146,04/12/2022,178,60,,,178,60,,,2024,330000,436,438,Aout,88,Summer
2022,Goitom KIFLE,M,31,02:06:09,7569,7870,-0.04,19.976218787158146,04/12/2022,ERI,10,Valencia,102,1237,0,29,02:06:09,7569,19.976218787158146,04/12/2022,178,60,,,178,60,,,2024,330000,436,438,Aout,88,Summer
2023,Goitom KIFLE,M,31,02:08:22,7702,8488,-0.09,19.631264606595689,03/12/2023,ERI,29,Valencia,102,1237,0,29,02:06:09,7569,19.976218787158146,04/12/2022,178,60,,,178,60,,,2024,330000,436,438,Aout,88,Summer
2015,Koen NAERT,M,35,02:10:31,7831,8019,-0.02,19.307878942663773,27/09/2015,BEL,7,Berlin,105,1237,0,38,02:06:56,7616,19.852941176470591,16/04/2023,182,66,,28100,182,66,,28100,2024,330000,436,438,Aout,88,Summer
2021,Koen NAERT,M,35,02:08:41,7721,7933,-0.03,19.582955575702631,05/12/2021,BEL,18,Valencia,105,1237,0,38,02:06:56,7616,19.852941176470591,16/04/2023,182,66,,28100,182,66,,28100,2024,330000,436,438,Aout,88,Summer
2019,Brett ROBINSON,M,33,02:10:55,7855,,,19.2488860598345,28/04/2019,AUS,11,London,114,1231,0,49,02:07:31,7651,19.762122598353155,04/12/2022,176,60,,23400,176,60,,23400,2024,330000,436,438,Aout,88,Summer
2022,Brett ROBINSON,M,33,02:09:52,7792,8073,-0.03,19.404517453798768,02/10/2022,AUS,8,London,114,1231,0,49,02:07:31,7651,19.762122598353155,04/12/2022,176,60,,23400,176,60,,23400,2024,330000,436,438,Aout,88,Summer
2023,Brett ROBINSON,M,33,02:10:19,7819,7651,0.02,19.337511190689348,23/04/2023,AUS,7,London,114,1231,0,49,02:07:31,7651,19.762122598353155,04/12/2022,176,60,,23400,176,60,,23400,2024,330000,436,438,Aout,88,Summer
2023,Mohcin OUTALHA,M,26,02:34:29,9269,7609,0.22,16.312439313841839,02/04/2023,MAR,157,Paris,115,1230,0,37,02:06:49,7609,19.871205151793927,20/01/2023,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2022,Tariku NOVALES,M,26,02:07:18,7638,8527,-0.1,19.795758051846033,04/12/2022,ESP,16,Valencia,116,1230,0,20,02:05:48,7548,20.031796502384736,03/12/2023,178,59,,15300,178,59,,15300,2024,330000,436,438,Aout,88,Summer
2023,Tariku NOVALES,M,26,02:05:48,7548,7959,-0.05,20.031796502384736,03/12/2023,ESP,11,Valencia,116,1230,0,20,02:05:48,7548,20.031796502384736,03/12/2023,178,59,,15300,178,59,,15300,2024,330000,436,438,Aout,88,Summer
2014,Nicolas NAVARRO,M,33,02:32:58,9178,8922,0.03,16.474177380692961,06/04/2014,FRA,35,Paris,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2017,Nicolas NAVARRO,M,33,02:20:11,8411,9178,-0.08,17.976459398406845,09/04/2017,FRA,22,Paris,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2017,Nicolas NAVARRO,M,33,02:17:56,8276,8411,-0.02,18.269695505074914,19/11/2017,FRA,20,Valencia,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2018,Nicolas NAVARRO,M,33,02:15:14,8114,8276,-0.02,18.634458959822528,08/04/2018,FRA,18,Paris,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2018,Nicolas NAVARRO,M,33,02:12:39,7959,8114,-0.02,18.997361477572557,02/12/2018,FRA,16,Valencia,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2019,Nicolas NAVARRO,M,33,02:11:53,7913,7959,-0.01,19.107797295589538,14/04/2019,FRA,10,Paris,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2019,Nicolas NAVARRO,M,33,02:10:01,7801,7913,-0.01,19.382130496090245,01/12/2019,FRA,14,Valencia,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2020,Nicolas NAVARRO,M,33,02:09:17,7757,7801,-0.01,19.49207167719479,06/12/2020,FRA,23,Valencia,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
