Rank,meeting_name,country,Start Date,End Date,Participation Score,Result Score,Competition Score,Event URL
164,"Marathon des Alpes-Maritimes Nice-Cannes, Nice",FRA,05 NOV 2023,05 NOV 2023,0,7384,7384,https://www.worldathletics.orgNot found
165,"Romanian Marathon Championships, Timisoara",ROU,22 OCT 2023,22 OCT 2023,0,7357,7357,https://www.worldathletics.orgNot found
166,"Yangling Marathon, Yangling",CHN,09 APR 2023,09 APR 2023,0,7323,7323,https://www.worldathletics.orgNot found
167,"Perth Running Festival- WA State Marathon Championships, Perth",AUS,08 OCT 2023,08 OCT 2023,0,7303,7303,https://www.worldathletics.orgNot found
168,"Salvador Marathon, Salvador",BRA,24 SEP 2023,24 SEP 2023,0,7261,7261,https://www.worldathletics.orgNot found
169,"Kazan Marathon, Kazan",RUS,21 MAY 2023,21 MAY 2023,0,7230,7230,https://www.worldathletics.orgNot found
170,"Varna Marathon, Varna",BUL,14 MAY 2023,14 MAY 2023,0,7225,7225,https://www.worldathletics.orgNot found
171,"Sao Paulo City Marathon, Praça Charles Muller/Jockey Clube de SP, São Paulo",BRA,30 JUL 2023,30 JUL 2023,0,7202,7202,https://www.worldathletics.orgNot found
172,"Rimi Riga Marathon, Riga",LAT,07 MAY 2023,07 MAY 2023,0,7144,7144,https://www.worldathletics.orgNot found
173,"Kazakh Marathon Championships, Almaty",KAZ,01 OCT 2023,01 OCT 2023,0,7111,7111,https://www.worldathletics.orgNot found
174,"Guilin Marathon, Guilin",CHN,26 MAR 2023,26 MAR 2023,0,7043,7043,https://www.worldathletics.orgNot found
175,"Tashkent International Marathon, Tashkent",UZB,12 MAR 2023,12 MAR 2023,0,7030,7030,https://www.worldathletics.orgNot found
176,"FirstEnergy Akron Marathon, Akron, OH",USA,30 SEP 2023,30 SEP 2023,0,6998,6998,https://www.worldathletics.orgNot found
177,"Zagreb Marathon, Zagreb",CRO,08 OCT 2023,08 OCT 2023,0,6960,6960,https://www.worldathletics.orgNot found
178,"Chizhou Marathon, Chizhou",CHN,15 OCT 2023,15 OCT 2023,0,6956,6956,https://www.worldathletics.orgNot found
1,"Tokyo Marathon, Tokyo",JPN,06 MAR 2022,06 MAR 2022,535,10086,10621,https://www.worldathletics.orgNot found
2,"Maraton Valencia Trinidad Alfonso EDP, Valencia",ESP,04 DEC 2022,04 DEC 2022,245,10186,10431,https://www.worldathletics.orgNot found
3,"B.A.A. Boston Marathon, Boston, MA",USA,18 APR 2022,18 APR 2022,830,9559,10389,https://www.worldathletics.orgNot found
3,"BMW Berlin Marathon, Berlin",GER,25 SEP 2022,25 SEP 2022,255,10014,10389,https://www.worldathletics.orgNot found
5,"TCS London Marathon, London",GBR,02 OCT 2022,02 OCT 2022,410,9978,10388,https://www.worldathletics.orgNot found
6,"Bank of America Chicago Marathon, Chicago, IL",USA,09 OCT 2022,09 OCT 2022,350,9935,10285,https://www.worldathletics.orgNot found
7,"Seoul Marathon, Seoul",KOR,17 APR 2022,17 APR 2022,165,9926,10091,https://www.worldathletics.orgNot found
8,"NN Marathon Rotterdam, Rotterdam",NED,10 APR 2022,10 APR 2022,305,9772,10077,https://www.worldathletics.orgNot found
9,"TCS Amsterdam Marathon, Amsterdam",NED,16 OCT 2022,16 OCT 2022,70,9983,10053,https://www.worldathletics.orgNot found
10,"Schneider Electric Marathon de Paris, Paris",FRA,03 APR 2022,03 APR 2022,160,9809,9969,https://www.worldathletics.orgNot found
11,"TCS New York City Marathon, New York, NY",USA,06 NOV 2022,06 NOV 2022,435,9473,9908,https://www.worldathletics.orgNot found
12,"Zurich Maraton de Sevilla, Sevilla",ESP,20 FEB 2022,20 FEB 2022,40,9865,9905,https://www.worldathletics.orgNot found
13,"Haspa Marathon, Hamburg",GER,24 APR 2022,24 APR 2022,25,9806,9831,https://www.worldathletics.orgNot found
14,"Telepass Milano Marathon, Milano",ITA,03 APR 2022,03 APR 2022,40,9767,9807,https://www.worldathletics.orgNot found
15,"ADNOC Abu Dhabi Marathon, Abu Dhabi",UAE,17 DEC 2022,17 DEC 2022,110,9647,9757,https://www.worldathletics.orgNot found
16,"Zurich Marató de Barcelona, Barcelona",ESP,08 MAY 2022,08 MAY 2022,25,9693,9718,https://www.worldathletics.orgNot found
17,"Blackmores Sydney Marathon, Sydney",AUS,18 SEP 2022,18 SEP 2022,180,9523,9703,https://www.worldathletics.orgNot found
18,"Vienna City Marathon, Wien",AUT,24 APR 2022,24 APR 2022,0,9649,9649,https://www.worldathletics.orgNot found
19,"Daegu International Marathon, Daegu",KOR,03 APR 2022,03 APR 2022,15,9629,9644,https://www.worldathletics.orgNot found
20,"Košice Peace Marathon, Košice",SVK,02 OCT 2022,02 OCT 2022,10,9585,9595,https://www.worldathletics.orgNot found
21,"Volkswagen Ljubljana Marathon, Ljubljana",SLO,23 OCT 2022,23 OCT 2022,20,9559,9579,https://www.worldathletics.orgNot found
22,"Riyadh Marathon, Riyadh",KSA,05 MAR 2022,05 MAR 2022,65,9510,9575,https://www.worldathletics.orgNot found
23,"Mainova Frankfurt Marathon, Frankfurt",GER,30 OCT 2022,30 OCT 2022,25,9545,9570,https://www.worldathletics.orgNot found
24,"Enschede Marathon, Enschede",NED,24 APR 2022,24 APR 2022,25,9534,9559,https://www.worldathletics.orgNot found
25,"TCS Toronto Waterfront Marathon, Toronto",CAN,16 OCT 2022,16 OCT 2022,20,9508,9528,https://www.worldathletics.orgNot found
26,"Volkswagen Prague Marathon, Praha",CZE,08 MAY 2022,08 MAY 2022,10,9463,9473,https://www.worldathletics.orgNot found
