year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2024,Xiangdong WU,M,30,02:08:04,7684.0,7802,-0.02,19.677251431546068,25/02/2024,CHN,10,Osaka,241,1186,0.0,64,02:08:04,7684.0,19.677251431546068,25/02/2024,,,,,2024,330000,436,438,Aout,88,Summer
2023,Leonard KORIR,M,38,02:09:31,7771.0,8249,-0.06,19.456955346802214,02/04/2023,USA,7,Paris,242,1186,0.0,70,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Samuel Tsegay TESFAMARIAM,M,36,02:08:06,7800.8333333333339,7648,-0.01,19.401557085967774,22/04/2012,ERI,8,London,244,1185,0.0,71,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Abdi Ali GELELCHU,M,27,02:07:15,7668.5,7736,-0.079999999999999988,19.717400476185862,20/02/2022,BRN,8,Sevilla,252,1183,0.0,72,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Michael SOMERS,M,29,02:09:31,7739.666666666667,,0.0,19.53615278755662,19/02/2023,BEL,22,Sevilla,254,1181,0.0,66,02:08:09,7689.0,19.664455715957864,24/09/2023,,,,4221.0,2024,330000,436,438,Aout,88,Summer
2024,Tachlowini GABRIYESOS,M,26,02:10:09,7765.333333333333,8042,-0.013333333333333334,19.47146349896801,20/02/2022,ART,21,Sevilla,274,1176,0.0,73,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Alberto GONZALEZ MINDEZ,M,28,02:07:40,7660.0,,,19.738903394255875,03/12/2023,GUA,25,Valencia,283,1173,1.0,55,02:07:40,7660.0,19.738903394255875,03/12/2023,,,,2049.0,2024,330000,436,438,Aout,88,Summer
2024,Rory LINKLETTER,M,28,02:08:01,7681.0,7936,-0.03,19.684936857180055,18/02/2024,CAN,13,Sevilla,290,1172,0.0,61,02:08:01,7681.0,19.684936857180055,18/02/2024,180.0,63.0,,12300.0,2024,330000,436,438,Aout,88,Summer
2024,Carlos Martín DÍAZ DEL RIO,M,31,02:10:26,7755.0,,-0.02,19.498733050298974,19/02/2023,CHI,26,Sevilla,291,1172,0.0,63,02:08:04,7684.0,19.677251431546068,18/02/2024,174.0,59.0,,33700.0,2024,330000,436,438,Aout,88,Summer
2024,Ser-Od BAT-OCHIR,M,43,02:12:42,8077.3,8345,-0.025000000000000005,18.733813684866696,26/09/2010,MGL,10,Berlin,310,1169,0.0,74,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Elroy GELANT,M,38,02:08:56,7736.0,8203,-0.06,19.544984488107549,18/02/2024,RSA,26,Sevilla,341,1163,1.0,75,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Adam NOWICKI,M,34,02:09:48,7857.5,8121,-0.02,19.244267267008681,19/02/2023,POL,24,Sevilla,345,1163,0.0,76,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Mahamed MAHAMED,M,27,02:08:42,7722.0,,,19.58041958041958,03/12/2023,GBR,34,Valencia,349,1162,1.0,77,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Olonbayar JAMSRAN,M,31,02:08:58,7738.0,7862,-0.02,19.539932799172913,26/02/2023,MGL,29,Osaka,351,1162,0.0,78,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Mateusz KACZOR,M,27,02:09:35,7775.0,7958,-0.02,19.446945337620576,18/02/2024,POL,39,Sevilla,364,1159,0.0,79,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Ebba Tulu CHALA,M,28,02:13:39,7922.833333333333,8101,-0.034999999999999996,19.088765024271364,01/12/2019,ETH,36,Valencia,371,1158,0.0,80,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Dario IVANOVSKI,M,27,02:11:53,7809.5,8348,-0.04,19.364435891500971,03/12/2023,MKD,50,Valencia,375,1157,0.0,81,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Byambajav TSEVEENRAVDAN,M,34,02:19:55,8038.333333333333,8084,-0.036666666666666667,18.830118945906129,25/09/2022,MGL,48,Berlin,376,1157,0.0,82,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Suldan HASSAN,M,26,02:07:36,7656.0,,,19.749216300940439,18/02/2024,SWE,9,Sevilla,381,1155,1.0,51,02:07:36,7656.0,19.749216300940439,18/02/2024,170.0,56.0,,5814.0,2024,330000,436,438,Aout,88,Summer
2024,Maxim RĂILEANU,M,30,02:11:12,7817.0,8461,-0.08,19.343416330968257,19/02/2023,MDA,34,Sevilla,388,1155,0.0,83,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Paulo Roberto PAULA,M,45,02:10:08,7811.75,8109,-0.04250000000000001,19.355519758816552,23/02/2020,BRA,24,Sevilla,400,1153,0.0,84,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Segundo JAMI,M,38,02:17:11,7989.7142857142853,,-0.021666666666666667,18.930913824151091,22/02/2015,ECU,8,Sevilla,406,1151,0.0,85,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Yago ROJO,M,29,02:09:56,7733.0,,-0.03,19.553475834132421,06/12/2020,ESP,29,Valencia,429,1146,1.0,59,02:07:47,7667.0,19.720881700795619,03/12/2023,,,,18200.0,2024,330000,436,438,Aout,88,Summer
2023,Luis Fernando OSTOS CRUZ,M,32,02:14:10,8050.0,8065,0.0,18.782608695652172,19/02/2023,PER,50,Sevilla,430,1146,0.0,86,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2021,Ben PREISNER,M,28,02:15:30,8130.0,8367,-0.03,18.597785977859779,05/12/2021,CAN,45,Valencia,453,1141,1.0,87,,,,,,,,,2024,330000,436,438,Aout,88,Summer
